;ANO_LETIVO;CD_DIRETORIA;NM_DIRETORIA;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3;CD_DIRETORIA_ANO
46;2022;20302;AVARE;100.0;0.0;0.0;97.94;1.5;0.56;91.57;5.43;3.0;203022022
47;2022;20202;GUARATINGUETA;100.0;0.0;0.0;96.11;3.27;0.62;87.77;10.52;1.71;202022022
48;2022;10401;CAIEIRAS;99.86;0.0;0.14;98.36;1.33;0.31;96.73;2.09;1.18;104012022
49;2022;10501;MOGI DAS CRUZES;99.69;0.31;0.0;97.97;1.33;0.7;91.99;5.28;2.73;105012022
50;2022;20408;LIMEIRA;99.76;0.16;0.08;98.92;0.35;0.73;97.0;1.3;1.7;204082022
51;2022;20102;SANTOS;99.62;0.2;0.18;98.23;0.76;1.01;95.67;2.13;2.2;201022022
52;2022;20308;SOROCABA;99.89;0.09;0.02;98.86;0.71;0.43;94.98;2.81;2.21;203082022
53;2022;20205;SAO JOSE DOS CAMPOS;99.47;0.41;0.12;96.94;2.65;0.41;91.42;7.5;1.08;202052022
54;2022;10318;SUL 3;98.78;0.89;0.33;93.62;5.45;0.93;86.14;11.89;1.97;103182022
55;2022;10312;CENTRO OESTE;99.66;0.26;0.08;97.75;1.76;0.49;88.61;9.57;1.82;103122022
56;2022;21101;MIRACATU;99.11;0.89;0.0;99.35;0.59;0.06;98.32;1.2;0.48;211012022
57;2022;20305;ITAPEVA;0.0;0.0;0.0;99.89;0.0;0.11;96.08;3.64;0.28;203052022
58;2022;20909;MIRANTE DO PARANAPANEMA;100.0;0.0;0.0;99.11;0.89;0.0;95.43;4.49;0.08;209092022
59;2022;20511;TAQUARITINGA;99.93;0.07;0.0;99.84;0.16;0.0;98.67;1.32;0.01;205112022
60;2022;20803;BIRIGUI;0.0;0.0;0.0;99.26;0.55;0.19;96.23;2.37;1.4;208032022
61;2022;20311;PIRAJU;0.0;0.0;0.0;98.71;0.91;0.38;95.66;2.76;1.58;203112022
62;2022;21001;ASSIS;99.86;0.14;0.0;97.55;2.36;0.09;92.78;7.1;0.12;210012022
63;2022;20411;PIRASSUNUNGA;99.6;0.31;0.09;97.97;1.71;0.32;92.98;5.11;1.91;204112022
64;2022;20206;TAUBATE;100.0;0.0;0.0;97.9;1.41;0.69;95.16;3.32;1.52;202062022
65;2022;10104;NORTE 2;99.51;0.27;0.22;95.95;3.29;0.76;89.64;8.73;1.63;101042022
